country,code,year,adult_literacy
Togo,TGO,2019,67.0
Togo,TGO,2022,72.59589
Tonga,TON,1976,100.0
Tonga,TON,1996,99.0
Tonga,TON,2006,99.0
Tonga,TON,2011,99.0
Tonga,TON,2016,97.0
Tonga,TON,2019,91.05162
Trinidad and Tobago,TTO,1980,95.0
Trinidad and Tobago,TTO,1990,97.0
Tunisia,TUN,1984,48.0
Tunisia,TUN,2004,74.0
Tunisia,TUN,2007,77.0
Tunisia,TUN,2008,78.0
Tunisia,TUN,2010,79.0
Tunisia,TUN,2011,80.0
Tunisia,TUN,2012,80.0
Tunisia,TUN,2014,79.0
Tunisia,TUN,2018,79.47511
Tunisia,TUN,2019,81.0
Tunisia,TUN,2021,83.68263
Tunisia,TUN,2023,86.24682
Turkey,TUR,1975,62.0
Turkey,TUR,1980,66.0
Turkey,TUR,1985,76.0
Turkey,TUR,1990,79.0
Turkey,TUR,2004,87.0
Turkey,TUR,2005,88.0
Turkey,TUR,2006,88.0
Turkey,TUR,2007,89.0
Turkey,TUR,2009,91.0
Turkey,TUR,2010,93.0
Turkey,TUR,2011,94.0
Turkey,TUR,2012,95.0
Turkey,TUR,2013,95.0
Turkey,TUR,2014,95.0
Turkey,TUR,2015,96.0
Turkey,TUR,2016,96.0
Turkey,TUR,2017,96.0
Turkey,TUR,2019,97.0
Turkey,TUR,2021,97.0
Turkmenistan,TKM,1995,99.0
Uganda,UGA,1991,56.0
Uganda,UGA,2002,68.0
Uganda,UGA,2006,71.0
Uganda,UGA,2010,73.0
Uganda,UGA,2012,70.0
Uganda,UGA,2016,69.10132
Ukraine,UKR,2001,99.0
United Arab Emirates,ARE,1975,54.0
United Arab Emirates,ARE,1985,71.0
United Arab Emirates,ARE,2005,90.0
United Arab Emirates,ARE,2019,98.0
United Arab Emirates,ARE,2021,98.0
United Arab Emirates,ARE,2022,98.0
United Arab Emirates,ARE,2023,98.0
Uruguay,URY,1975,94.0
Uruguay,URY,1985,95.0
Uruguay,URY,1996,97.0
Uruguay,URY,2006,98.0
Uruguay,URY,2007,98.0
Uruguay,URY,2008,98.0
Uruguay,URY,2009,98.0
Uruguay,URY,2010,98.0
Uruguay,URY,2011,98.0
Uruguay,URY,2012,98.0
Uruguay,URY,2013,98.0
Uruguay,URY,2014,98.0
Uruguay,URY,2015,99.0
Uruguay,URY,2016,99.0
Uruguay,URY,2017,99.0
Uruguay,URY,2018,99.0
Uruguay,URY,2019,99.0
Uruguay,URY,2022,99.0
Uzbekistan,UZB,2000,99.0
Uzbekistan,UZB,2013,100.0
Uzbekistan,UZB,2014,100.0
Uzbekistan,UZB,2015,100.0
Uzbekistan,UZB,2016,100.0
Uzbekistan,UZB,2018,100.0
Uzbekistan,UZB,2019,100.0
Uzbekistan,UZB,2021,100.0
Uzbekistan,UZB,2022,100.0
Vanuatu,VUT,1979,53.0
Vanuatu,VUT,1999,74.0
Vanuatu,VUT,2023,87.96032
Venezuela,VEN,1981,85.0
Venezuela,VEN,1990,90.0
Venezuela,VEN,2001,93.0
Venezuela,VEN,2007,95.0
Venezuela,VEN,2009,96.0
Venezuela,VEN,2011,95.0
Venezuela,VEN,2015,97.0
Venezuela,VEN,2016,97.0
Vietnam,VNM,1979,84.0
Vietnam,VNM,1989,88.0
Vietnam,VNM,1999,90.0
Vietnam,VNM,2000,90.0
Vietnam,VNM,2009,94.0
Vietnam,VNM,2019,96.0
Vietnam,VNM,2022,96.0
Yemen,YEM,1994,37.0
Zambia,ZMB,1990,65.0
Zambia,ZMB,1999,68.0
Zambia,ZMB,2002,69.0
Zambia,ZMB,2010,83.0
Zambia,ZMB,2018,71.1323
Zimbabwe,ZWE,1982,78.0
Zimbabwe,ZWE,1992,84.0
Zimbabwe,ZWE,2019,93.22755
